date,area,category,complaint_type,severity,status,department,notes
2026-07-17,Koramangala,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-06-02,Domlur,Water Supply,Low pressure,low,Resolved,Water Board,Escalated after no response in 72 hours.
2026-06-30,Rajajinagar,Roads,Broken streetlight,medium,Resolved,Public Works,Flagged by community volunteer.
2026-07-04,Vijayanagar,Public Health,Open garbage,medium,Resolved,Health Dept,Affects a school zone nearby.
2026-06-29,Vijayanagar,Noise,Late-night party,low,Resolved,Environment Cell,
2026-07-12,Domlur,Roads,Pothole,low,Open,Public Works,Affects a school zone nearby.
2026-06-21,BTM Layout,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Reported via city helpline.
2026-06-18,Malleshwaram,Sanitation,Foul smell,medium,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-23,Koramangala,Waste Collection,Delayed collection,medium,In Progress,Sanitation Dept,
2026-07-10,Rajajinagar,Public Health,Food safety,medium,In Progress,Health Dept,Photo evidence attached by citizen.
2026-07-18,Koramangala,Noise,Traffic noise,high,In Progress,Environment Cell,Affects a school zone nearby.
2026-06-02,Vijayanagar,Noise,Industrial noise,high,Resolved,Environment Cell,Escalated after no response in 72 hours.
2026-06-21,BTM Layout,Public Health,Food safety,medium,Resolved,Health Dept,Photo evidence attached by citizen.
2026-07-16,Vijayanagar,Public Health,Open garbage,medium,Open,Health Dept,Flagged by community volunteer.
2026-06-26,Koramangala,Public Health,Open garbage,medium,Resolved,Health Dept,Resident reported repeatedly this month.
2026-06-06,Domlur,Waste Collection,Delayed collection,high,Open,Sanitation Dept,
2026-06-17,Basavanagudi,Sanitation,Foul smell,low,In Progress,Sanitation Dept,Reported via city helpline.
2026-07-01,Malleshwaram,Water Supply,No supply,low,Open,Water Board,Reported via city helpline.
2026-07-22,Koramangala,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-07-18,Koramangala,Waste Collection,Illegal dumping,high,Resolved,Sanitation Dept,Photo evidence attached by citizen.
2026-06-02,Koramangala,Water Supply,Low pressure,low,Open,Water Board,Third complaint from the same street.
2026-07-05,Jayanagar,Water Supply,Leak,high,Open,Water Board,Flagged by community volunteer.
2026-07-17,Koramangala,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Flagged by community volunteer.
2026-06-24,Domlur,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Reported via city helpline.
2026-07-07,Koramangala,Public Health,Food safety,high,Open,Health Dept,Resident reported repeatedly this month.
2026-07-18,Koramangala,Water Supply,No supply,medium,Resolved,Water Board,Recurring issue during monsoon.
2026-06-25,Basavanagudi,Public Health,Food safety,high,Open,Health Dept,
2026-07-04,Domlur,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,
2026-07-01,Koramangala,Sanitation,Blocked sewer,low,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-07-07,Koramangala,Public Health,Open garbage,medium,Escalated,Health Dept,Third complaint from the same street.
2026-07-02,Rajajinagar,Sanitation,Stagnant water,low,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-06-03,BTM Layout,Waste Collection,Missed pickup,low,Open,Sanitation Dept,Third complaint from the same street.
2026-06-11,Koramangala,Water Supply,Contaminated water,medium,Resolved,Water Board,
2026-07-07,Malleshwaram,Noise,Industrial noise,medium,Resolved,Environment Cell,Resident reported repeatedly this month.
2026-06-23,Domlur,Roads,Pothole,low,In Progress,Public Works,Photo evidence attached by citizen.
2026-07-17,Koramangala,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,
2026-05-30,Domlur,Sanitation,Stagnant water,low,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-14,Vijayanagar,Water Supply,No supply,medium,Resolved,Water Board,Flagged by community volunteer.
2026-06-07,Jayanagar,Water Supply,Low pressure,low,In Progress,Water Board,Escalated after no response in 72 hours.
2026-06-18,Malleshwaram,Noise,Industrial noise,high,Open,Environment Cell,Recurring issue during monsoon.
2026-07-21,Koramangala,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-07-23,Koramangala,Waste Collection,Illegal dumping,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-07-17,Domlur,Water Supply,Contaminated water,medium,Open,Water Board,
2026-06-05,Basavanagudi,Roads,Broken streetlight,critical,Open,Public Works,Recurring issue during monsoon.
2026-07-18,Jayanagar,Water Supply,No supply,low,Open,Water Board,Escalated after no response in 72 hours.
2026-07-06,BTM Layout,Sanitation,Stagnant water,medium,In Progress,Sanitation Dept,Third complaint from the same street.
2026-07-05,Koramangala,Waste Collection,Delayed collection,low,Resolved,Sanitation Dept,Reported via city helpline.
2026-05-30,Basavanagudi,Roads,Broken streetlight,high,In Progress,Public Works,Resident reported repeatedly this month.
2026-06-15,Koramangala,Sanitation,Public toilet issue,medium,Resolved,Sanitation Dept,Third complaint from the same street.
2026-05-30,Domlur,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Reported via city helpline.
2026-06-24,Rajajinagar,Water Supply,Contaminated water,low,Open,Water Board,Third complaint from the same street.
2026-06-10,Koramangala,Public Health,Mosquito breeding,medium,Resolved,Health Dept,Third complaint from the same street.
2026-07-02,Vijayanagar,Public Health,Open garbage,high,In Progress,Health Dept,Recurring issue during monsoon.
2026-07-14,Koramangala,Sanitation,Public toilet issue,medium,Open,Sanitation Dept,Reported via city helpline.
2026-07-22,Koramangala,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-07-20,Domlur,Noise,Industrial noise,low,Open,Environment Cell,Photo evidence attached by citizen.
2026-06-25,Koramangala,Water Supply,Low pressure,high,In Progress,Water Board,Photo evidence attached by citizen.
2026-07-01,Koramangala,Public Health,Mosquito breeding,low,Escalated,Health Dept,Escalated after no response in 72 hours.
2026-07-16,Koramangala,Water Supply,Leak,high,In Progress,Water Board,Flagged by community volunteer.
2026-06-26,Malleshwaram,Roads,Pothole,medium,Resolved,Public Works,Recurring issue during monsoon.
2026-05-29,Rajajinagar,Roads,Damaged signage,high,Resolved,Public Works,
2026-07-11,Domlur,Waste Collection,Overflowing bin,medium,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-22,Koramangala,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-20,Koramangala,Waste Collection,Illegal dumping,high,Open,Sanitation Dept,Affects a school zone nearby.
2026-06-10,Jayanagar,Water Supply,No supply,high,Escalated,Water Board,Photo evidence attached by citizen.
2026-06-15,Koramangala,Public Health,Stray animals,medium,Resolved,Health Dept,Third complaint from the same street.
2026-07-12,Vijayanagar,Roads,Blocked drain,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-07-20,Vijayanagar,Water Supply,Low pressure,medium,In Progress,Water Board,Photo evidence attached by citizen.
2026-06-04,Malleshwaram,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-06-07,Malleshwaram,Public Health,Food safety,critical,Open,Health Dept,Escalated after no response in 72 hours.
2026-07-11,Koramangala,Sanitation,Foul smell,high,In Progress,Sanitation Dept,
2026-06-30,BTM Layout,Sanitation,Blocked sewer,low,Resolved,Sanitation Dept,
2026-06-28,Koramangala,Roads,Blocked drain,medium,In Progress,Public Works,Flagged by community volunteer.
2026-06-22,Domlur,Sanitation,Stagnant water,critical,Open,Sanitation Dept,Recurring issue during monsoon.
2026-06-22,Malleshwaram,Public Health,Stray animals,low,In Progress,Health Dept,Affects a school zone nearby.
2026-06-07,Rajajinagar,Public Health,Open garbage,high,Open,Health Dept,Resident reported repeatedly this month.
2026-07-21,Koramangala,Roads,Broken streetlight,medium,In Progress,Public Works,Resident reported repeatedly this month.
2026-07-06,Domlur,Roads,Blocked drain,medium,Escalated,Public Works,Photo evidence attached by citizen.
2026-07-17,Malleshwaram,Noise,Late-night party,high,Resolved,Environment Cell,Reported via city helpline.
2026-07-19,Koramangala,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-22,Rajajinagar,Roads,Pothole,high,In Progress,Public Works,Escalated after no response in 72 hours.
2026-06-24,Koramangala,Sanitation,Stagnant water,medium,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-17,Koramangala,Waste Collection,Delayed collection,high,Open,Sanitation Dept,
2026-05-30,BTM Layout,Water Supply,Contaminated water,medium,In Progress,Water Board,Affects a school zone nearby.
2026-06-02,Basavanagudi,Public Health,Stray animals,low,In Progress,Health Dept,Photo evidence attached by citizen.
2026-07-09,Rajajinagar,Noise,Loud construction,medium,Resolved,Environment Cell,Resident reported repeatedly this month.
2026-07-10,Koramangala,Water Supply,Low pressure,medium,In Progress,Water Board,Resident reported repeatedly this month.
2026-07-05,Jayanagar,Water Supply,Low pressure,low,Resolved,Water Board,Reported via city helpline.
2026-06-18,Rajajinagar,Noise,Industrial noise,low,Open,Environment Cell,Photo evidence attached by citizen.
2026-06-01,Koramangala,Waste Collection,Overflowing bin,low,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-20,Koramangala,Waste Collection,Illegal dumping,high,Open,Sanitation Dept,Reported via city helpline.
2026-07-07,Koramangala,Public Health,Food safety,medium,In Progress,Health Dept,Resident reported repeatedly this month.
2026-06-18,Koramangala,Water Supply,Contaminated water,low,Open,Water Board,Recurring issue during monsoon.
2026-07-17,Koramangala,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Recurring issue during monsoon.
2026-06-22,Malleshwaram,Waste Collection,Overflowing bin,medium,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-07-22,Koramangala,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,
2026-07-06,Vijayanagar,Waste Collection,Illegal dumping,low,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-07-17,Jayanagar,Waste Collection,Delayed collection,medium,Resolved,Sanitation Dept,Flagged by community volunteer.
2026-06-29,Koramangala,Public Health,Open garbage,low,Resolved,Health Dept,Third complaint from the same street.
2026-07-14,Basavanagudi,Noise,Loud construction,low,Resolved,Environment Cell,Flagged by community volunteer.
2026-06-25,Basavanagudi,Water Supply,No supply,low,In Progress,Water Board,
2026-06-24,Koramangala,Water Supply,Low pressure,high,In Progress,Water Board,
2026-06-11,Jayanagar,Sanitation,Stagnant water,high,Open,Sanitation Dept,Resident reported repeatedly this month.
2026-06-15,Malleshwaram,Noise,Traffic noise,medium,Open,Environment Cell,Reported via city helpline.
2026-06-03,Vijayanagar,Roads,Blocked drain,medium,In Progress,Public Works,
2026-07-17,Koramangala,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-07-16,Malleshwaram,Public Health,Open garbage,low,Open,Health Dept,Photo evidence attached by citizen.
2026-07-19,Koramangala,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-12,Jayanagar,Public Health,Mosquito breeding,low,Open,Health Dept,Third complaint from the same street.
2026-06-28,Vijayanagar,Water Supply,Low pressure,high,Open,Water Board,Escalated after no response in 72 hours.
2026-07-21,Vijayanagar,Sanitation,Stagnant water,high,Resolved,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-03,Rajajinagar,Public Health,Stray animals,high,Resolved,Health Dept,Escalated after no response in 72 hours.
2026-07-20,BTM Layout,Waste Collection,Overflowing bin,medium,Resolved,Sanitation Dept,Reported via city helpline.
2026-06-17,BTM Layout,Roads,Pothole,medium,Open,Public Works,
2026-07-18,Vijayanagar,Roads,Broken streetlight,medium,In Progress,Public Works,Photo evidence attached by citizen.
2026-07-12,Vijayanagar,Noise,Late-night party,low,Resolved,Environment Cell,Reported via city helpline.
2026-06-02,Koramangala,Roads,Blocked drain,high,Resolved,Public Works,Photo evidence attached by citizen.
2026-07-05,Jayanagar,Water Supply,Low pressure,low,Resolved,Water Board,Affects a school zone nearby.
2026-07-13,Basavanagudi,Water Supply,Contaminated water,low,Open,Water Board,Third complaint from the same street.
2026-07-14,Domlur,Sanitation,Foul smell,low,Escalated,Sanitation Dept,Third complaint from the same street.
2026-05-31,Rajajinagar,Roads,Broken streetlight,medium,Resolved,Public Works,Third complaint from the same street.
2026-07-14,Koramangala,Public Health,Open garbage,low,Open,Health Dept,Flagged by community volunteer.
2026-06-22,Basavanagudi,Sanitation,Blocked sewer,medium,Open,Sanitation Dept,Photo evidence attached by citizen.
2026-06-22,Koramangala,Sanitation,Foul smell,medium,In Progress,Sanitation Dept,
2026-06-25,Koramangala,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Flagged by community volunteer.
2026-06-25,Koramangala,Public Health,Stray animals,medium,Open,Health Dept,
2026-07-21,BTM Layout,Roads,Blocked drain,low,Resolved,Public Works,Affects a school zone nearby.
2026-07-06,BTM Layout,Noise,Traffic noise,high,Open,Environment Cell,Escalated after no response in 72 hours.
2026-07-11,Koramangala,Roads,Broken streetlight,high,Open,Public Works,
2026-06-25,Malleshwaram,Public Health,Stray animals,medium,Resolved,Health Dept,Photo evidence attached by citizen.
2026-06-04,Koramangala,Public Health,Food safety,medium,In Progress,Health Dept,Photo evidence attached by citizen.
2026-07-18,Koramangala,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Flagged by community volunteer.
2026-06-19,Basavanagudi,Water Supply,Low pressure,medium,In Progress,Water Board,Escalated after no response in 72 hours.
2026-07-13,Koramangala,Sanitation,Stagnant water,high,In Progress,Sanitation Dept,Flagged by community volunteer.
2026-06-28,Rajajinagar,Water Supply,Low pressure,low,Open,Water Board,Escalated after no response in 72 hours.
2026-07-13,Rajajinagar,Noise,Late-night party,low,Open,Environment Cell,Reported via city helpline.
2026-06-07,Koramangala,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-11,Jayanagar,Roads,Broken streetlight,medium,Resolved,Public Works,Affects a school zone nearby.
2026-07-03,Basavanagudi,Roads,Pothole,medium,Open,Public Works,Flagged by community volunteer.
2026-06-08,Vijayanagar,Water Supply,No supply,low,Open,Water Board,Recurring issue during monsoon.
2026-06-24,Basavanagudi,Water Supply,Contaminated water,medium,Open,Water Board,Third complaint from the same street.
2026-06-28,Koramangala,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Third complaint from the same street.
2026-06-19,Koramangala,Public Health,Stray animals,critical,In Progress,Health Dept,Flagged by community volunteer.
2026-06-02,Rajajinagar,Roads,Pothole,low,Resolved,Public Works,Photo evidence attached by citizen.
2026-07-20,Domlur,Public Health,Open garbage,low,In Progress,Health Dept,Photo evidence attached by citizen.
2026-07-08,Rajajinagar,Public Health,Mosquito breeding,medium,In Progress,Health Dept,Affects a school zone nearby.
2026-07-10,Jayanagar,Noise,Loud construction,medium,Resolved,Environment Cell,Affects a school zone nearby.
2026-06-09,Vijayanagar,Public Health,Stray animals,low,Open,Health Dept,Flagged by community volunteer.
2026-07-20,Koramangala,Roads,Blocked drain,medium,In Progress,Public Works,Reported via city helpline.
2026-07-22,Koramangala,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-08,Jayanagar,Noise,Late-night party,medium,Open,Environment Cell,Photo evidence attached by citizen.
2026-07-19,Koramangala,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-06-27,Malleshwaram,Public Health,Mosquito breeding,low,Resolved,Health Dept,Third complaint from the same street.
2026-07-22,Koramangala,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Affects a school zone nearby.
2026-07-21,Domlur,Public Health,Open garbage,medium,Open,Health Dept,Third complaint from the same street.
2026-07-21,Koramangala,Waste Collection,Delayed collection,high,Open,Sanitation Dept,Affects a school zone nearby.
2026-07-21,Malleshwaram,Waste Collection,Missed pickup,medium,In Progress,Sanitation Dept,Resident reported repeatedly this month.
2026-07-05,Jayanagar,Sanitation,Public toilet issue,high,Escalated,Sanitation Dept,Reported via city helpline.
2026-06-30,Malleshwaram,Water Supply,Leak,low,Open,Water Board,Resident reported repeatedly this month.
2026-05-30,Koramangala,Public Health,Open garbage,medium,In Progress,Health Dept,Third complaint from the same street.
2026-06-17,Koramangala,Water Supply,No supply,medium,Resolved,Water Board,
2026-06-22,Malleshwaram,Noise,Traffic noise,medium,Open,Environment Cell,Reported via city helpline.
2026-07-08,Domlur,Noise,Traffic noise,medium,Open,Environment Cell,Third complaint from the same street.
2026-07-13,Malleshwaram,Noise,Industrial noise,low,Open,Environment Cell,Recurring issue during monsoon.
2026-06-14,Domlur,Waste Collection,Delayed collection,low,Open,Sanitation Dept,Photo evidence attached by citizen.
2026-07-20,Koramangala,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Flagged by community volunteer.
2026-06-07,Vijayanagar,Sanitation,Blocked sewer,high,Resolved,Sanitation Dept,Third complaint from the same street.
2026-07-09,Koramangala,Public Health,Mosquito breeding,high,In Progress,Health Dept,Reported via city helpline.
2026-07-02,Koramangala,Sanitation,Blocked sewer,medium,In Progress,Sanitation Dept,Photo evidence attached by citizen.
2026-06-23,Rajajinagar,Roads,Blocked drain,high,Open,Public Works,
2026-07-23,Koramangala,Waste Collection,Delayed collection,high,Resolved,Sanitation Dept,
2026-07-09,Basavanagudi,Roads,Blocked drain,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-07-08,Malleshwaram,Waste Collection,Illegal dumping,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-12,Rajajinagar,Sanitation,Blocked sewer,low,In Progress,Sanitation Dept,Reported via city helpline.
2026-06-14,BTM Layout,Public Health,Open garbage,high,Resolved,Health Dept,
2026-07-15,Vijayanagar,Sanitation,Stagnant water,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-18,Koramangala,Water Supply,Low pressure,low,In Progress,Water Board,Resident reported repeatedly this month.
2026-06-18,Malleshwaram,Sanitation,Public toilet issue,low,In Progress,Sanitation Dept,Recurring issue during monsoon.
2026-06-21,Koramangala,Sanitation,Foul smell,high,Resolved,Sanitation Dept,
2026-06-11,Malleshwaram,Roads,Broken streetlight,low,In Progress,Public Works,Resident reported repeatedly this month.
2026-07-18,Koramangala,Waste Collection,Overflowing bin,high,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-11,Koramangala,Roads,Damaged signage,medium,Resolved,Public Works,Photo evidence attached by citizen.
2026-06-12,Koramangala,Sanitation,Blocked sewer,medium,Resolved,Sanitation Dept,Flagged by community volunteer.
2026-06-13,Jayanagar,Roads,Damaged signage,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-07-14,Rajajinagar,Sanitation,Stagnant water,high,Open,Sanitation Dept,Recurring issue during monsoon.
2026-07-21,Koramangala,Waste Collection,Illegal dumping,high,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-22,Koramangala,Waste Collection,Delayed collection,medium,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-16,Koramangala,Noise,Traffic noise,medium,Open,Environment Cell,Flagged by community volunteer.
2026-07-05,Vijayanagar,Waste Collection,Overflowing bin,low,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-19,BTM Layout,Water Supply,Contaminated water,medium,Resolved,Water Board,Reported via city helpline.
2026-06-21,Rajajinagar,Noise,Loud construction,medium,Resolved,Environment Cell,Escalated after no response in 72 hours.
2026-07-13,Domlur,Sanitation,Foul smell,medium,Escalated,Sanitation Dept,Reported via city helpline.
2026-06-20,Malleshwaram,Waste Collection,Delayed collection,medium,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-06-14,Domlur,Sanitation,Stagnant water,medium,Resolved,Sanitation Dept,Resident reported repeatedly this month.
2026-07-18,Koramangala,Waste Collection,Overflowing bin,medium,In Progress,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-06,Jayanagar,Noise,Late-night party,medium,Open,Environment Cell,Resident reported repeatedly this month.
2026-06-14,Basavanagudi,Roads,Damaged signage,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-06-28,Rajajinagar,Noise,Late-night party,medium,In Progress,Environment Cell,Photo evidence attached by citizen.
2026-07-12,Koramangala,Waste Collection,Illegal dumping,critical,Open,Sanitation Dept,Photo evidence attached by citizen.
2026-07-10,Rajajinagar,Waste Collection,Illegal dumping,high,In Progress,Sanitation Dept,Resident reported repeatedly this month.
2026-06-21,Koramangala,Roads,Damaged signage,medium,Open,Public Works,
2026-06-03,Basavanagudi,Public Health,Mosquito breeding,low,Open,Health Dept,Escalated after no response in 72 hours.
2026-06-15,BTM Layout,Public Health,Stray animals,low,In Progress,Health Dept,
2026-06-11,Vijayanagar,Waste Collection,Missed pickup,high,Open,Sanitation Dept,Reported via city helpline.
2026-07-22,Koramangala,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Reported via city helpline.
2026-06-23,Koramangala,Sanitation,Foul smell,low,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-07-19,Koramangala,Waste Collection,Missed pickup,high,Open,Sanitation Dept,Escalated after no response in 72 hours.
2026-07-18,Koramangala,Public Health,Food safety,critical,In Progress,Health Dept,Flagged by community volunteer.
2026-06-26,BTM Layout,Roads,Damaged signage,low,Open,Public Works,
2026-07-20,BTM Layout,Public Health,Food safety,medium,Resolved,Health Dept,Escalated after no response in 72 hours.
2026-06-26,Domlur,Waste Collection,Overflowing bin,low,In Progress,Sanitation Dept,
2026-07-17,Basavanagudi,Waste Collection,Illegal dumping,low,Escalated,Sanitation Dept,Photo evidence attached by citizen.
2026-06-17,Rajajinagar,Roads,Damaged signage,low,Resolved,Public Works,
2026-07-12,Koramangala,Sanitation,Foul smell,medium,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-06-13,Rajajinagar,Water Supply,No supply,medium,Resolved,Water Board,Flagged by community volunteer.
2026-06-18,Malleshwaram,Sanitation,Blocked sewer,medium,Resolved,Sanitation Dept,Reported via city helpline.
2026-07-23,Koramangala,Waste Collection,Missed pickup,high,Resolved,Sanitation Dept,Recurring issue during monsoon.
2026-07-15,Basavanagudi,Water Supply,No supply,high,Open,Water Board,Photo evidence attached by citizen.
2026-07-18,Koramangala,Waste Collection,Missed pickup,high,In Progress,Sanitation Dept,Third complaint from the same street.
2026-07-03,Domlur,Public Health,Food safety,medium,In Progress,Health Dept,Flagged by community volunteer.
2026-06-29,Vijayanagar,Water Supply,Contaminated water,low,Resolved,Water Board,Photo evidence attached by citizen.
2026-07-04,Vijayanagar,Sanitation,Blocked sewer,low,In Progress,Sanitation Dept,Affects a school zone nearby.
2026-06-14,BTM Layout,Water Supply,Low pressure,medium,Resolved,Water Board,Escalated after no response in 72 hours.
2026-06-06,Basavanagudi,Water Supply,Leak,low,Open,Water Board,Reported via city helpline.
2026-06-15,Malleshwaram,Water Supply,No supply,high,Resolved,Water Board,Photo evidence attached by citizen.
2026-07-16,BTM Layout,Water Supply,Leak,low,In Progress,Water Board,Affects a school zone nearby.
2026-07-11,Vijayanagar,Water Supply,Contaminated water,medium,Open,Water Board,Flagged by community volunteer.
2026-07-02,Domlur,Roads,Damaged signage,medium,Open,Public Works,Escalated after no response in 72 hours.
2026-07-20,Koramangala,Waste Collection,Overflowing bin,high,Open,Sanitation Dept,Affects a school zone nearby.
2026-07-21,Koramangala,Waste Collection,Delayed collection,high,In Progress,Sanitation Dept,Reported via city helpline.
2026-07-12,BTM Layout,Public Health,Food safety,medium,In Progress,Health Dept,
2026-07-22,BTM Layout,Noise,Industrial noise,high,Resolved,Environment Cell,Escalated after no response in 72 hours.
2026-06-13,Koramangala,Waste Collection,Overflowing bin,medium,Open,Sanitation Dept,Escalated after no response in 72 hours.
